Teen ADHD-Linked Neural Imprint Screener (Ages 12–18),No.,Statement,Response Options (choose in Responses sheet),Q,Response (1-4),Unnamed: 2,Scale Legend,NEURAL,Hardwire,Items,Max per Item,Max Score,Actual Score,Percent,Client Summary – Hardwire Profile (Radar & Bar)
,24.0,I often hide how much I’m struggling because I don’t want people to judge me.,,,,,,,,,,,,,
,25.0,I say things like “I don’t care” about school because it hurts to feel like I’m failing.,,,,,,,,,,,,,
,26.0,"When people tell me to just focus, I feel irritated or shut down.",,,,,,,,,,,,,
,27.0,I sometimes give up before I start because I expect to mess it up anyway.,,,,,,,,,,,,,
,28.0,"Encouraging messages about working harder don’t help, because it feels like I have already tried.",,,,,,,,,,,,,
,29.0,I feel like teachers or adults don’t understand how hard it is for me to pay attention.,,,,,,,,,,,,,
,30.0,I often get into trouble for behaviours I don’t fully mean to do.,,,,,,,,,,,,,
,31.0,"It feels like I’m punished more than others, even when we do similar things.",,,,,,,,,,,,,
,32.0,"Sometimes I feel like no matter what I do, people only see my mistakes.",,,,,,,,,,,,,
,33.0,Part of me believes I can learn better ways to manage my attention and energy.,,,,,,,,,,,,,
,34.0,Another part of me feels like my brain is just wired wrong and can’t be improved.,,,,,,,,,,,,,
,35.0,"When I use small strategies (like lists or timers), things sometimes go better.",,,,,,,,,,,,,
,36.0,"I feel stuck when adults expect me to change, but don’t show me how.",,,,,,,,,,,,,
,37.0,"At home or school, people focus more on my behaviour than on what might be behind it.",,,,,,,,,,,,,
,38.0,"In my world, there is little space to talk about how my brain works differently.",,,,,,,,,,,,,
,39.0,I feel like the rules where I live or study don’t leave room for people who think like me.,,,,,,,,,,,,,
,40.0,"Instead of support, I mostly receive lectures or punishment when I struggle to focus.",,,,,,,,,,,,,
,41.0,"Growing up, I was often called naughty, restless, or disruptive.",,,,,,,,,,,,,
,42.0,"As a child, I was sometimes shouted at for things I now think were because I couldn’t sit still.",,,,,,,,,,,,,
,43.0,Adults in my past rarely asked why I struggled; they mostly told me to behave.,,,,,,,,,,,,,
,44.0,I learnt early to hide my energy or ideas so I wouldn’t get into trouble.,,,,,,,,,,,,,
,45.0,I get very frustrated with myself when I make the same mistakes again and again.,,,,,,,,,,,,,
,46.0,"When I feel overwhelmed, I sometimes snap at people or storm off.",,,,,,,,,,,,,
,47.0,"I act like everything is fine at school, even when inside I feel completely lost.",,,,,,,,,,,,,
,48.0,"I sometimes pretend I didn’t care about a test or task, just so people won’t see I struggled.",,,,,,,,,,,,,
,,,,1.0,,,1 = Does not describe me at all,,,,,,,,
,,,,2.0,,,2 = Describes me a little,,,,,,,,
,,,,3.0,,,3 = Describes me quite a lot,,,,,,,,
,,,,4.0,,,4 = Describes me completely,,,,,,,,
,,,,5.0,,,,,,,,,,,
,,,,6.0,,,,,,,,,,,
,,,,7.0,,,,,,,,,,,
,,,,8.0,,,,,,,,,,,
,,,,9.0,,,,,,,,,,,
,,,,10.0,,,,,,,,,,,
,,,,11.0,,,,,,,,,,,
,,,,12.0,,,,,,,,,,,
,,,,13.0,,,,,,,,,,,
,,,,14.0,,,,,,,,,,,
,,,,15.0,,,,,,,,,,,
,,,,16.0,,,,,,,,,,,
,,,,17.0,,,,,,,,,,,
,,,,18.0,,,,,,,,,,,
,,,,19.0,,,,,,,,,,,
,,,,20.0,,,,,,,,,,,
,,,,21.0,,,,,,,,,,,
,,,,22.0,,,,,,,,,,,
,,,,23.0,,,,,,,,,,,
,,,,24.0,,,,,,,,,,,
,,,,25.0,,,,,,,,,,,
,,,,26.0,,,,,,,,,,,
,,,,27.0,,,,,,,,,,,
,,,,28.0,,,,,,,,,,,
,,,,29.0,,,,,,,,,,,
,,,,30.0,,,,,,,,,,,
,,,,31.0,,,,,,,,,,,
,,,,32.0,,,,,,,,,,,
,,,,33.0,,,,,,,,,,,
,,,,34.0,,,,,,,,,,,
,,,,35.0,,,,,,,,,,,
,,,,36.0,,,,,,,,,,,
,,,,37.0,,,,,,,,,,,
,,,,38.0,,,,,,,,,,,
,,,,39.0,,,,,,,,,,,
,,,,40.0,,,,,,,,,,,
,,,,41.0,,,,,,,,,,,
,,,,42.0,,,,,,,,,,,
,,,,43.0,,,,,,,,,,,
,,,,44.0,,,,,,,,,,,
,,,,45.0,,,,,,,,,,,
,,,,46.0,,,,,,,,,,,
,,,,47.0,,,,,,,,,,,
,,,,48.0,,,,,,,,,,,
,,,,1.0,,,,DIS,,,,,,,
,,,,2.0,,,,DIS,,,,,,,
,,,,3.0,,,,DIS,,,,,,,
,,,,4.0,,,,DIS,,,,,,,
,,,,5.0,,,,DIS,,,,,,,
,,,,6.0,,,,DIS,,,,,,,
,,,,7.0,,,,LEFT/RIGHT,,,,,,,
,,,,8.0,,,,LEFT/RIGHT,,,,,,,
,,,,9.0,,,,LEFT/RIGHT,,,,,,,
,,,,10.0,,,,LEFT/RIGHT,,,,,,,
,,,,11.0,,,,BURN,,,,,,,
,,,,12.0,,,,BURN,,,,,,,
,,,,13.0,,,,BURN,,,,,,,
,,,,14.0,,,,BURN,,,,,,,
,,,,15.0,,,,CPL,,,,,,,
,,,,16.0,,,,CPL,,,,,,,
,,,,17.0,,,,CPL,,,,,,,
,,,,18.0,,,,CPL,,,,,,,
,,,,19.0,,,,SHT,,,,,,,
,,,,20.0,,,,SHT,,,,,,,
,,,,21.0,,,,SHT,,,,,,,
,,,,22.0,,,,SHT,,,,,,,
,,,,23.0,,,,SHT,,,,,,,
,,,,24.0,,,,SHT,,,,,,,
,,,,25.0,,,,RES,,,,,,,
,,,,26.0,,,,RES,,,,,,,
,,,,27.0,,,,RES,,,,,,,
,,,,28.0,,,,RES,,,,,,,
,,,,29.0,,,,VICTIM,,,,,,,
,,,,30.0,,,,VICTIM,,,,,,,
,,,,31.0,,,,VICTIM,,,,,,,
,,,,32.0,,,,VICTIM,,,,,,,
,,,,33.0,,,,INFLUENCE,,,,,,,
,,,,34.0,,,,INFLUENCE,,,,,,,
,,,,35.0,,,,INFLUENCE,,,,,,,
,,,,36.0,,,,INFLUENCE,,,,,,,
,,,,37.0,,,,TRAP,,,,,,,
,,,,38.0,,,,TRAP,,,,,,,
,,,,39.0,,,,TRAP,,,,,,,
,,,,40.0,,,,TRAP,,,,,,,
,,,,41.0,,,,NEG,,,,,,,
,,,,42.0,,,,NEG,,,,,,,
,,,,43.0,,,,NEG,,,,,,,
,,,,44.0,,,,NEG,,,,,,,
,,,,45.0,,,,ANG,,,,,,,
,,,,46.0,,,,ANG,,,,,,,
,,,,47.0,,,,DEC,,,,,,,
,,,,48.0,,,,DEC,,,,,,,
,,,,,,,,,DIS,,4.0,,,,
,,,,,,,,,ANG,,4.0,,,,
,,,,,,,,,SHT,,4.0,,,,
,,,,,,,,,LACK,,4.0,,,,
,,,,,,,,,NEG,,4.0,,,,
,,,,,,,,,BURN,,4.0,,,,
,,,,,,,,,DEC,,4.0,,,,
,,,,,,,,,INFLUENCE,,4.0,,,,
,,,,,,,,,TRAP,,4.0,,,,
,,,,,,,,,HOS,,4.0,,,,
,,,,,,,,,VICTIM,,4.0,,,,
,,,,,,,,,LEFT/RIGHT,,4.0,,,,
,,,,,,,,,CPL,,4.0,,,,
,,,,,,,,,RES,,4.0,,,,
,,,,,,,,,NAR,,4.0,,,,
,,,,,,,,,DOG,,4.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Tip: Enter your responses in the 'Responses' sheet (1–4). Charts update automatically.
